timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1359842604665,2,Debug Sampler,200,OK,Fedora group 1-1,text,true,2360,0
1359842604667,1,Debug Sampler,200,OK,Fedora group 1-2,text,true,2360,0
1359842604693,1,Debug Sampler,200,OK,Fedora group 1-3,text,true,2359,0
1359842604927,1,Debug Sampler,200,OK,Fedora group 1-4,text,true,2360,0
1359842605104,1,Debug Sampler,200,OK,Fedora group 1-5,text,true,2360,0
1359842605736,516,Fedora Delete Object Request,200,OK,Fedora group 1-2,text,true,243,516
1359842605742,514,Fedora Delete Object Request,200,OK,Fedora group 1-5,text,true,243,514
1359842605742,514,Fedora Delete Object Request,200,OK,Fedora group 1-4,text,true,242,514
1359842605742,524,Fedora Delete Object Request,200,OK,Fedora group 1-3,text,true,243,524
1359842605743,524,Fedora Delete Object Request,200,OK,Fedora group 1-1,text,true,243,502
1359842606406,268,Fedora Create Object Request,201,Created,Fedora group 1-5,text,true,286,268
1359842606490,349,Fedora Create Object Request,201,Created,Fedora group 1-3,text,true,286,349
1359842606435,501,Fedora Create Object Request,201,Created,Fedora group 1-2,text,true,286,501
1359842606743,223,Fedora Create Binary Resource Request,201,Created,Fedora group 1-5,text,true,1142,223
1359842606457,567,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,286,567
1359842606428,661,Fedora Create Object Request,201,Created,Fedora group 1-4,text,true,286,660
1359842606952,144,Fedora Create Binary Resource Request,201,Created,Fedora group 1-3,text,true,1142,143
1359842607090,108,Fedora Create Binary Resource Request,201,Created,Fedora group 1-2,text,true,1141,108
1359842607189,107,Fedora Create Binary Resource Request,201,Created,Fedora group 1-5,text,true,1141,107
1359842607228,119,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1141,119
1359842607281,131,Fedora Create Binary Resource Request,201,Created,Fedora group 1-4,text,true,1142,131
1359842607395,99,Fedora Create Binary Resource Request,201,Created,Fedora group 1-3,text,true,1142,99
1359842607507,145,Fedora Create Binary Resource Request,201,Created,Fedora group 1-2,text,true,1141,145
1359842607533,141,Fedora Create Binary Resource Request,201,Created,Fedora group 1-5,text,true,1141,138
1359842607647,112,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1141,112
1359842607653,92,Fedora Create Binary Resource Request,201,Created,Fedora group 1-4,text,true,1141,92
