timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1360307024393,254,Delete Object,200,OK,Threadgroup 1-21,text,true,224,254
1360307024481,174,Delete Object,200,OK,Threadgroup 1-15,text,true,224,174
1360307024524,142,Delete Object,200,OK,Threadgroup 1-4,text,true,224,142
1360307024425,245,Delete Object,200,OK,Threadgroup 1-31,text,true,224,245
1360307024475,198,Delete Object,200,OK,Threadgroup 1-29,text,true,224,198
1360307024611,73,Delete Object,200,OK,Threadgroup 1-20,text,true,224,73
1360307024646,51,Delete Object,200,OK,Threadgroup 1-34,text,true,224,51
1360307025105,99,Delete Object,200,OK,Threadgroup 1-19,text,true,224,99
1360307025159,96,Create Object,201,Created,Threadgroup 1-21,text,true,282,96
1360307025202,85,Create Object,201,Created,Threadgroup 1-34,text,true,282,84
1360307025197,117,Create Object,201,Created,Threadgroup 1-4,text,true,282,117
1360307025245,76,Delete Object,200,OK,Threadgroup 1-27,text,true,224,76
1360307025191,148,Create Object,201,Created,Threadgroup 1-15,text,true,282,148
1360307025169,201,Create Object,201,Created,Threadgroup 1-31,text,true,282,201
1360307025303,79,Delete Object,200,OK,Threadgroup 1-6,text,true,224,79
1360307025184,216,Create Object,201,Created,Threadgroup 1-20,text,true,282,216
1360307025337,69,Delete Object,200,OK,Threadgroup 1-9,text,true,224,69
1360307025340,70,Delete Object,200,OK,Threadgroup 1-32,text,true,223,70
1360307025173,253,Create Object,201,Created,Threadgroup 1-29,text,true,282,253
1360307025373,144,Delete Object,200,OK,Threadgroup 1-36,text,true,224,144
1360307025450,68,Delete Object,200,OK,Threadgroup 1-2,text,true,224,68
1360307025419,100,Delete Object,200,OK,Threadgroup 1-10,text,true,224,100
1360307025553,61,Delete Object,200,OK,Threadgroup 1-28,text,true,224,61
1360307025544,86,Delete Object,200,OK,Threadgroup 1-14,text,true,224,86
1360307025602,64,Create Object,201,Created,Threadgroup 1-19,text,true,282,64
1360307025719,65,Delete Object,200,OK,Threadgroup 1-30,text,true,224,65
1360307025731,67,Delete Object,200,OK,Threadgroup 1-5,text,true,224,67
1360307025653,149,Delete Object,200,OK,Threadgroup 1-7,text,true,224,149
1360307025759,77,Create Object,201,Created,Threadgroup 1-27,text,true,280,77
1360307025760,100,Delete Object,200,OK,Threadgroup 1-40,text,true,224,100
1360307025797,68,Delete Object,200,OK,Threadgroup 1-38,text,true,224,68
1360307025852,81,Create Object,201,Created,Threadgroup 1-6,text,true,280,81
1360307025859,96,Delete Object,200,OK,Threadgroup 1-13,text,true,224,96
1360307025838,121,Delete Object,200,OK,Threadgroup 1-17,text,true,224,121
1360307025829,136,Delete Object,200,OK,Threadgroup 1-1,text,true,224,136
1360307025916,63,Delete Object,200,OK,Threadgroup 1-11,text,true,224,63
1360307025889,92,Delete Object,200,OK,Threadgroup 1-12,text,true,224,91
1360307025869,120,Delete Object,200,OK,Threadgroup 1-25,text,true,224,120
1360307025928,107,Delete Object,200,OK,Threadgroup 1-22,text,true,224,107
1360307025891,185,Delete Object,200,OK,Threadgroup 1-37,text,true,224,185
1360307026020,68,Create Object,201,Created,Threadgroup 1-10,text,true,282,68
1360307026016,145,Delete Object,200,OK,Threadgroup 1-3,text,true,224,145
1360307026054,107,Create Object,201,Created,Threadgroup 1-32,text,true,280,107
1360307026177,46,Delete Object,200,OK,Threadgroup 1-24,text,true,224,46
1360307025759,335,Create Binary Resource,201,Created,Threadgroup 1-21,text,true,1122,335
1360307026241,73,Delete Object,200,OK,Threadgroup 1-23,text,true,224,73
1360307026227,88,Delete Object,200,OK,Threadgroup 1-8,text,true,224,88
1360307026287,61,Create Object,201,Created,Threadgroup 1-28,text,true,282,60
1360307026326,98,Delete Object,200,OK,Threadgroup 1-39,text,true,224,98
1360307026317,117,Delete Object,200,OK,Threadgroup 1-33,text,true,224,117
1360307026340,108,Delete Object,200,OK,Threadgroup 1-35,text,true,224,108
1360307026354,108,Delete Object,200,OK,Threadgroup 1-26,text,true,224,108
1360307026404,64,Delete Object,200,OK,Threadgroup 1-18,text,true,224,64
1360307026393,76,Delete Object,200,OK,Threadgroup 1-16,text,true,224,76
1360307025938,291,Create Binary Resource,201,Created,Threadgroup 1-34,text,true,1122,291
1360307026334,66,Create Binary Resource,201,Created,Threadgroup 1-4,text,true,1122,66
1360307026483,53,Create Object,201,Created,Threadgroup 1-14,text,true,282,53
1360307026558,315,Create Object,201,Created,Threadgroup 1-12,text,true,282,315
1360307026559,315,Create Object,201,Created,Threadgroup 1-2,text,true,280,315
1360307026532,340,Create Binary Resource,201,Created,Threadgroup 1-19,text,true,1122,340
1360307026902,64,Create Object,201,Created,Threadgroup 1-1,text,true,282,64
1360307026938,55,Create Object,201,Created,Threadgroup 1-17,text,true,282,55
1360307026902,117,Create Object,201,Created,Threadgroup 1-25,text,true,282,117
1360307026470,39,Create Binary Resource,201,Created,Threadgroup 1-15,text,true,1122,39
1360307026930,56,Create Binary Resource,201,Created,Threadgroup 1-31,text,true,1122,56
1360307026953,93,Create Object,201,Created,Threadgroup 1-9,text,true,282,93
1360307026942,131,Create Object,201,Created,Threadgroup 1-36,text,true,282,131
1360307026938,169,Create Object,201,Created,Threadgroup 1-38,text,true,282,169
1360307026517,424,Create Binary Resource,201,Created,Threadgroup 1-20,text,true,1122,424
1360307027055,101,Create Object,201,Created,Threadgroup 1-33,text,true,282,101
1360307027057,134,Create Object,201,Created,Threadgroup 1-39,text,true,282,134
1360307026932,54,Create Binary Resource,201,Created,Threadgroup 1-29,text,true,1122,54
1360307027048,173,Create Object,201,Created,Threadgroup 1-37,text,true,280,173
1360307027019,234,Create Object,201,Created,Threadgroup 1-40,text,true,282,234
1360307027127,198,Create Object,201,Created,Threadgroup 1-13,text,true,280,198
1360307027126,201,Create Object,201,Created,Threadgroup 1-23,text,true,282,201
1360307027164,39,Create Binary Resource,201,Created,Threadgroup 1-10,text,true,1122,39
1360307027136,209,Create Object,201,Created,Threadgroup 1-11,text,true,280,209
1360307027171,60,Create Binary Resource,201,Created,Threadgroup 1-6,text,true,1119,60
1360307027158,52,Create Binary Resource,201,Created,Threadgroup 1-27,text,true,1119,52
1360307027126,248,Create Object,201,Created,Threadgroup 1-22,text,true,282,247
1360307027209,128,Create Binary Resource,201,Created,Threadgroup 1-32,text,true,1119,128
1360307027222,190,Create Object,201,Created,Threadgroup 1-7,text,true,282,190
1360307027359,53,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,1122,53
