timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1360866813269,293,Delete Object,200,OK,Threadgroup 1-3,text,true,223,293
1360866813454,114,Delete Object,200,OK,Threadgroup 1-6,text,true,222,114
1360866813400,272,Delete Object,200,OK,Threadgroup 1-8,text,true,224,272
1360866813455,325,Delete Object,200,OK,Threadgroup 1-10,text,true,222,325
1360866813450,338,Delete Object,200,OK,Threadgroup 1-5,text,true,222,338
1360866813400,395,Delete Object,200,OK,Threadgroup 1-1,text,true,224,395
1360866813442,357,Delete Object,200,OK,Threadgroup 1-2,text,true,224,357
1360866813225,578,Delete Object,200,OK,Threadgroup 1-7,text,true,224,578
1360866813345,462,Delete Object,200,OK,Threadgroup 1-4,text,true,224,462
1360866813225,583,Delete Object,200,OK,Threadgroup 1-9,text,true,224,583
1360866813682,185,Create Object,201,Created,Threadgroup 1-3,text,true,280,185
1360866813744,146,Create Object,201,Created,Threadgroup 1-8,text,true,280,146
1360866813689,246,Create Object,201,Created,Threadgroup 1-6,text,true,280,246
1360866813996,87,Create Object,201,Created,Threadgroup 1-5,text,true,280,87
1360866814029,89,Create Object,201,Created,Threadgroup 1-9,text,true,280,89
1360866814020,123,Create Object,201,Created,Threadgroup 1-2,text,true,280,123
1360866814019,170,Create Object,201,Created,Threadgroup 1-4,text,true,280,170
1360866814101,91,Create Binary Resource,201,Created,Threadgroup 1-8,text,true,1119,91
1360866814018,215,Create Object,201,Created,Threadgroup 1-10,text,true,282,215
1360866814043,220,Create Object,201,Created,Threadgroup 1-7,text,true,280,220
1360866814114,111,Create Binary Resource,201,Created,Threadgroup 1-3,text,true,1119,111
1360866814217,42,Create Binary Resource,201,Created,Threadgroup 1-5,text,true,1119,42
1360866814043,245,Create Object,201,Created,Threadgroup 1-1,text,true,280,245
1360866814152,65,Create Binary Resource,201,Created,Threadgroup 1-6,text,true,1119,65
1360866814323,39,Create Binary Resource,201,Created,Threadgroup 1-2,text,true,1119,39
1360866814361,57,Create Binary Resource,201,Created,Threadgroup 1-9,text,true,1119,57
1360866814445,43,Create Binary Resource,201,Created,Threadgroup 1-10,text,true,1122,43
1360866814457,62,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,62
1360866814469,51,Create Binary Resource,201,Created,Threadgroup 1-4,text,true,1119,51
1360866814492,38,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,38
1360866814494,47,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,47
1360866814509,49,Create Binary Resource,201,Created,Threadgroup 1-7,text,true,1119,49
1360866814542,40,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,40
1360866814541,38,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,1119,38
1360866814645,41,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,41
1360866814656,46,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,46
1360866814685,31,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,31
1360866814759,34,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,34
1360866814778,43,Modify Binary Resource,200,OK,Threadgroup 1-7,text,true,1043,43
1360866814784,53,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,53
1360866814745,61,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,61
1360866814781,51,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,51
1360866814760,50,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,50
1360866814791,159,Modify Binary Resource,200,OK,Threadgroup 1-1,text,true,1043,159
1360866814834,139,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,139
1360866814937,48,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,48
1360866814973,96,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,96
1360866815019,62,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,62
1360866815031,41,Modify Binary Resource,200,OK,Threadgroup 1-7,text,true,1043,41
1360866815051,38,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,38
1360866815083,46,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,46
1360866815120,35,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,35
1360866815083,53,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,53
1360866815235,58,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,58
1360866815253,35,Modify Binary Resource,200,OK,Threadgroup 1-1,text,true,1043,35
1360866815290,41,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,41
1360866815334,43,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,43
1360866815363,43,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,43
1360866815373,45,Modify Binary Resource,200,OK,Threadgroup 1-7,text,true,1043,45
1360866815387,50,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,50
1360866815387,42,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,42
1360866815373,62,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,62
1360866815421,45,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,45
1360866815479,320,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,320
1360866815812,64,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,64
1360866815877,37,Modify Binary Resource,200,OK,Threadgroup 1-1,text,true,1043,37
1360866815882,48,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,48
1360866815922,63,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,63
1360866815925,77,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,77
1360866815951,50,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,50
1360866815950,55,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,55
1360866815936,77,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,77
1360866815991,63,Modify Binary Resource,200,OK,Threadgroup 1-7,text,true,1043,63
1360866816024,68,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,68
1360866816036,59,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,59
1360866816056,69,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,69
1360866816071,124,Modify Binary Resource,200,OK,Threadgroup 1-1,text,true,1043,124
1360866816125,94,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,94
1360866816165,63,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,63
1360866816131,151,Modify Binary Resource,200,OK,Threadgroup 1-8,text,true,1043,151
1360866816165,121,Modify Binary Resource,200,OK,Threadgroup 1-2,text,true,1043,121
1360866816195,92,Modify Binary Resource,200,OK,Threadgroup 1-9,text,true,1043,92
1360866816164,127,Modify Binary Resource,200,OK,Threadgroup 1-6,text,true,1043,127
1360866816183,110,Modify Binary Resource,200,OK,Threadgroup 1-7,text,true,1043,110
1360866816245,66,Modify Binary Resource,200,OK,Threadgroup 1-1,text,true,1043,66
1360866816185,109,Modify Binary Resource,200,OK,Threadgroup 1-5,text,true,1043,109
1360866816212,93,Modify Binary Resource,200,OK,Threadgroup 1-4,text,true,1043,93
1360866816287,67,Modify Binary Resource,200,OK,Threadgroup 1-10,text,true,1045,67
1360866816289,48,Modify Binary Resource,200,OK,Threadgroup 1-3,text,true,1043,48
