timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1360041734107,256,Delete Object,404,Not Found,Threadgroup 1-1,text,false,157,256
1360041734421,478,Create Object,201,Created,Threadgroup 1-1,text,true,158,478
1360041734989,639,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,639
1360041735722,391,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,391
1360041736196,347,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,347
1360041736616,391,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,391
1360041737116,379,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,379
1360041737560,466,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,466
1360041738091,311,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,311
1360041738462,350,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,350
1360041738871,312,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,312
1360041739229,305,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,305
1360041739563,247,Get Object,200,OK,Threadgroup 1-1,text,true,678,247
1360041739829,22,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1348,22
1360041739874,17,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1473,17
1360041739933,17,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1426,17
1360041739967,16,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1268,16
1360041740004,16,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1158,16
1360041740043,17,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1399,17
1360041740077,15,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1225,14
1360041740113,17,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1227,17
1360041740147,14,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1487,14
1360041740184,16,Read Binary Resource,200,OK,Threadgroup 1-1,text,true,1478,16
1360041740227,12,Delete Object,404,Not Found,Threadgroup 1-1,text,false,157,12
1360041740266,285,Create Object,201,Created,Threadgroup 1-1,text,true,158,285
1360041740586,285,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,285
1360041740914,278,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,278
1360041741231,279,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,278
1360041741544,272,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,272
1360041741856,291,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,291
1360041742190,279,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,279
1360041742504,551,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,551
1360041743089,257,Create Binary Resource,201,Created,Threadgroup 1-1,text,true,234,257
