timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1366830674916,158,Create Object,201,Created,Fedora 4 1-1,text,true,207,158
1366830675086,262,Create Datastream,201,Created,Fedora 4 1-1,,true,215,262
1366830675123,258,Create Object,201,Created,Fedora 4 1-2,text,true,207,258
1366830675329,225,Create Object,201,Created,Fedora 4 1-3,text,true,207,225
1366830675362,200,Update Datastream,201,Created,Fedora 4 1-1,,true,215,200
1366830675387,400,Create Datastream,201,Created,Fedora 4 1-2,,true,215,400
1366830675537,296,Create Object,201,Created,Fedora 4 1-4,text,true,207,296
1366830675579,370,Update Datastream,201,Created,Fedora 4 1-1,,true,215,370
1366830675562,411,Create Datastream,201,Created,Fedora 4 1-3,,true,215,411
1366830675801,431,Update Datastream,201,Created,Fedora 4 1-2,,true,215,431
1366830675736,496,Create Object,201,Created,Fedora 4 1-5,text,true,207,496
1366830675962,541,Update Datastream,201,Created,Fedora 4 1-1,,true,215,541
1366830675842,670,Create Datastream,201,Created,Fedora 4 1-4,,true,215,670
1366830675983,600,Update Datastream,201,Created,Fedora 4 1-3,,true,215,600
1366830676249,405,Update Datastream,201,Created,Fedora 4 1-2,,true,215,405
1366830676519,288,Update Datastream,201,Created,Fedora 4 1-1,,true,215,288
1366830676241,575,Create Datastream,201,Created,Fedora 4 1-5,,true,215,575
1366830676529,354,Update Datastream,201,Created,Fedora 4 1-4,,true,215,354
1366830676599,369,Update Datastream,201,Created,Fedora 4 1-3,,true,215,369
1366830676669,374,Update Datastream,201,Created,Fedora 4 1-2,,true,215,374
1366830676828,346,Update Datastream,201,Created,Fedora 4 1-1,,true,215,346
1366830676825,425,Update Datastream,201,Created,Fedora 4 1-5,,true,215,425
1366830676899,428,Update Datastream,201,Created,Fedora 4 1-4,,true,215,428
1366830676981,419,Update Datastream,201,Created,Fedora 4 1-3,,true,215,419
1366830677059,428,Update Datastream,201,Created,Fedora 4 1-2,,true,215,428
1366830677190,325,Update Datastream,201,Created,Fedora 4 1-1,,true,215,325
1366830677262,365,Update Datastream,201,Created,Fedora 4 1-5,,true,215,365
1366830677341,354,Update Datastream,201,Created,Fedora 4 1-4,,true,215,354
1366830677412,364,Update Datastream,201,Created,Fedora 4 1-3,,true,215,364
1366830677500,358,Update Datastream,201,Created,Fedora 4 1-2,,true,215,358
1366830677529,403,Update Datastream,201,Created,Fedora 4 1-1,,true,215,403
1366830677641,394,Update Datastream,201,Created,Fedora 4 1-5,,true,215,394
1366830677710,374,Update Datastream,201,Created,Fedora 4 1-4,,true,215,374
1366830677791,379,Update Datastream,201,Created,Fedora 4 1-3,,true,215,379
1366830677871,343,Update Datastream,201,Created,Fedora 4 1-2,,true,215,343
1366830677948,347,Update Datastream,201,Created,Fedora 4 1-1,,true,215,347
1366830678050,315,Update Datastream,201,Created,Fedora 4 1-5,,true,215,315
1366830678099,335,Update Datastream,201,Created,Fedora 4 1-4,,true,215,335
1366830678182,335,Update Datastream,201,Created,Fedora 4 1-3,,true,215,335
1366830678229,385,Update Datastream,201,Created,Fedora 4 1-2,,true,215,385
1366830678310,344,Update Datastream,201,Created,Fedora 4 1-1,,true,215,344
1366830678381,341,Update Datastream,201,Created,Fedora 4 1-5,,true,215,341
1366830678452,350,Update Datastream,201,Created,Fedora 4 1-4,,true,215,350
