timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1370313233493,357,Create Object,201,Created,Fedora 4 1-1,text,true,216,357
1370313233504,630,Create Object,201,Created,Fedora 4 1-2,text,true,216,630
1370313233858,524,Create Datastream Path,201,Created,Fedora 4 1-1,text,true,240,524
1370313233531,1127,Create Object,201,Created,Fedora 4 1-3,text,true,216,1127
1370313233631,1318,Create Object,201,Created,Fedora 4 1-6,text,true,216,1318
1370313234150,1367,Create Datastream Path,201,Created,Fedora 4 1-2,text,true,240,1367
1370313234664,1280,Create Datastream Path,201,Created,Fedora 4 1-3,text,true,240,1279
1370313234956,1652,Create Datastream Path,201,Created,Fedora 4 1-6,text,true,240,1651
1370313233823,3586,Create Object,201,Created,Fedora 4 1-13,text,true,218,3586
1370313234259,4418,Create Object,201,Created,Fedora 4 1-28,text,true,218,4418
1370313234389,5770,Create Datastream,201,Created,Fedora 4 1-1,,true,183,5770
1370313238683,1499,Create Datastream Path,201,Created,Fedora 4 1-28,text,true,242,1499
1370313237416,3235,Create Datastream Path,201,Created,Fedora 4 1-13,text,true,242,3235
1370313235523,6188,Create Datastream,201,Created,Fedora 4 1-2,,true,183,6188
1370313235951,7093,Create Datastream,201,Created,Fedora 4 1-3,,true,183,7093
1370313240175,5116,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1370313236614,8814,Create Datastream,201,Created,Fedora 4 1-6,,true,183,8814
1370313234580,12013,Create Object,201,Created,Fedora 4 1-40,text,true,218,11957
1370313234305,14034,Create Object,201,Created,Fedora 4 1-30,text,true,218,14034
1370313246600,1797,Create Datastream Path,201,Created,Fedora 4 1-40,text,true,242,1796
1370313241725,7035,Update Datastream,204,No Content,Fedora 4 1-2,,true,91,0
1370313240662,8899,Create Datastream,201,Created,Fedora 4 1-13,,true,184,8899
1370313243056,6514,Update Datastream,204,No Content,Fedora 4 1-3,,true,91,0
1370313248346,1227,Create Datastream Path,201,Created,Fedora 4 1-30,text,true,242,1227
1370313245305,4589,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1370313245444,4490,Update Datastream,204,No Content,Fedora 4 1-6,,true,91,0
1370313234225,16528,Create Object,201,Created,Fedora 4 1-27,text,true,218,16528
1370313240186,11874,Create Datastream,201,Created,Fedora 4 1-28,,true,184,11874
1370313248774,4069,Update Datastream,204,No Content,Fedora 4 1-2,,true,91,0
1370313234198,19362,Create Object,201,Created,Fedora 4 1-26,text,true,218,19362
1370313250757,3679,Create Datastream Path,201,Created,Fedora 4 1-27,text,true,242,3678
1370313249581,5384,Update Datastream,204,No Content,Fedora 4 1-13,,true,91,0
1370313234361,21578,Create Object,201,Created,Fedora 4 1-32,text,true,218,21578
1370313249965,6004,Update Datastream,204,No Content,Fedora 4 1-6,,true,91,0
1370313249584,6457,Update Datastream,204,No Content,Fedora 4 1-3,,true,91,0
1370313249904,6516,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1370313252074,4895,Update Datastream,204,No Content,Fedora 4 1-28,,true,91,0
1370313234060,22998,Create Object,201,Created,Fedora 4 1-21,text,true,218,22998
1370313252855,5435,Update Datastream,204,No Content,Fedora 4 1-2,,true,91,0
1370313234555,24002,Create Object,201,Created,Fedora 4 1-39,text,true,218,24002
1370313253566,8850,Create Datastream Path,201,Created,Fedora 4 1-26,text,true,242,8850
1370313255977,7104,Update Datastream,204,No Content,Fedora 4 1-6,,true,91,0
