timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1371516526983,35531,Create Object,201,Created,Fedora 4 1-1,text,true,216,35531
1371516562527,344,Create Datastream Path,201,Created,Fedora 4 1-1,text,true,240,344
1371516562885,821,Create Datastream,201,Created,Fedora 4 1-1,,true,196,821
1371516563731,215,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516563982,238,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516564247,228,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516564497,213,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516564745,240,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516565001,31,Read Datastream,200,OK,Fedora 4 1-1,text,true,109924,30
1371516565039,1159,Read Object,200,OK,Fedora 4 1-1,text,true,4454,1121
1371516566205,137,Delete Object,204,No Content,Fedora 4 1-1,,true,91,0
1371516566349,310,Create Object,201,Created,Fedora 4 1-1,text,true,216,310
1371516566666,568,Create Datastream Path,201,Created,Fedora 4 1-1,text,true,240,568
1371516567248,693,Create Datastream,201,Created,Fedora 4 1-1,,true,196,693
1371516567966,206,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516568201,226,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516568456,216,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516568701,191,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516568916,193,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516569116,15,Read Datastream,200,OK,Fedora 4 1-1,text,true,116299,11
1371516569137,52,Read Object,200,OK,Fedora 4 1-1,text,true,4454,34
1371516569195,242,Delete Object,204,No Content,Fedora 4 1-1,,true,91,0
1371516569454,494,Create Object,201,Created,Fedora 4 1-1,text,true,216,494
1371516569954,546,Create Datastream Path,201,Created,Fedora 4 1-1,text,true,240,546
1371516570506,716,Create Datastream,201,Created,Fedora 4 1-1,,true,196,716
1371516571251,167,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
1371516571450,216,Update Datastream,204,No Content,Fedora 4 1-1,,true,91,0
