timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1371671290715,28798,Create Object,201,Created,Fedora 3 1-1,text,true,292,28797
1371671319524,3211,Create Datastream,201,Created,Fedora 3 1-1,text,true,1137,3211
1371671322762,2886,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,2886
1371671325664,13700,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,13700
1371671339379,14151,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,14151
1371671353544,11836,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,11836
1371671365396,12600,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,12599
1371671378000,30126,Create Datastream,201,Created,Fedora 3 1-1,text,true,1137,30126
1371671408141,93177,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,93177
1371671501332,36171,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,36171
1371671537519,37925,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,37925
1371671575459,43301,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,43301
1371671618774,49157,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,49157
1371671667938,40526,Create Datastream,201,Created,Fedora 3 1-1,text,true,1137,40526
1371671708478,42392,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,42392
1371671750885,39761,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,39761
1371671790659,40847,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,40847
1371671831527,49266,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,49266
1371671880811,41307,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,41307
1371671922123,50847,Create Datastream,201,Created,Fedora 3 1-1,text,true,1137,50847
1371671972984,50059,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,50059
1371672023058,43572,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,43572
1371672066643,30822,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,30822
1371672097481,84228,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,84227
1371672181722,31850,Update Datastream,200,OK,Fedora 3 1-1,text,true,1060,31850
1371672213577,43712,Create Datastream,201,Created,Fedora 3 1-1,text,true,1137,43712
